"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"75990000677","Farmàcia Salvado Lladós","#","Pg","Sant Joan","2","2","05","el Fort Pienc","02","Eixample","08010","019","BARCELONA","41.391732","2.180345","431475.211","4582568.622","431567.153","4582769.562","932314605","#","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990000677","Farmàcia Salvado Lladós","#","Pg","Sant Joan","2","2","05","el Fort Pienc","02","Eixample","08010","019","BARCELONA","41.391732","2.180345","431475.211","4582568.622","431567.153","4582769.562","932314605","Fax","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990000684","Farmàcia Morera Inglés","#","Pg","Sant Joan","3","3","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391906","2.179117","431372.718","4582588.849","431464.659","4582789.789","932324210","#","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990000684","Farmàcia Morera Inglés","#","Pg","Sant Joan","3","3","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391906","2.179117","431372.718","4582588.849","431464.659","4582789.789","932324210","Fax","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990000877","Farmàcia Roselló Busquet","#","Av","Santuari St Josep Muntanya","6","6","30","la Salut","06","Gràcia","08024","019","BARCELONA","41.410072","2.154697","429350.815","4584625.339","429442.737","4584826.297","932104757","Fax","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990000877","Farmàcia Roselló Busquet","#","Av","Santuari St Josep Muntanya","6","6","30","la Salut","06","Gràcia","08024","019","BARCELONA","41.410072","2.154697","429350.815","4584625.339","429442.737","4584826.297","932846017","#","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990001522","Farmàcia Parés Bursosa","#","C","Beat Almató","20","20","29","el Coll","06","Gràcia","08023","019","BARCELONA","41.416461","2.147676","428771.034","4585340.395","428862.95","4585541.359","932843080","#","","","","","","","",
"75990001522","Farmàcia Parés Bursosa","#","C","Beat Almató","20","20","29","el Coll","06","Gràcia","08023","019","BARCELONA","41.416461","2.147676","428771.034","4585340.395","428862.95","4585541.359","932843080","Fax","","","","","","","",
"75990001556","Farmàcia Villar Merchan","#","Rbla","Poblenou","21","21","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.398772","2.204157","433473.14","4583331.624","433565.1","4583532.571","932241123","#","","","","","","","",
"75990002037","Farmàcia Ortopèdia Centelles - Prats","#","Rbla","Poblenou","46","46","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.400111","2.202763","433357.982","4583481.3","433449.941","4583682.249","933091869","#","","","","","","","",
"75990002037","Farmàcia Ortopèdia Centelles - Prats","#","Rbla","Poblenou","46","46","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.400111","2.202763","433357.982","4583481.3","433449.941","4583682.249","933091941","Fax","","","","","","","",
"75990002037","Farmàcia Ortopèdia Centelles - Prats","#","Rbla","Poblenou","46","46","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.400111","2.202763","433357.982","4583481.3","433449.941","4583682.249","933091941","#","","","","","","","",
"75990002146","Farmàcia Cebrián Anaut","#","Pg","Sant Joan Bosco","57","57","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.395167","2.126469","426974.828","4582993.968","427066.728","4583194.91","932032119","#","","","","","","","",
"75990002418","Farmàcia Planas Pascual","#","Pg","Torras i Bages","83","83","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.4398","2.190815","432400.415","4587896.862","432492.364","4588097.851","933450634","#","","","","","","","",
"75990002418","Farmàcia Planas Pascual","#","Pg","Torras i Bages","83","83","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.4398","2.190815","432400.415","4587896.862","432492.364","4588097.851","933450634","Fax","","","","","","","",
"75990002427","Farmàcia Fiol Belart","#","C","Numància","84","84","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.385257","2.137174","427858.801","4581884.782","427950.71","4582085.714","933219442","Fax","","","","","","","",
"75990002427","Farmàcia Fiol Belart","#","C","Numància","84","84","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.385257","2.137174","427858.801","4581884.782","427950.71","4582085.714","933219442","#","","","","","","","",
"75990002453","Farmàcia Romera Guijarro","#","Pg","Sant Joan","87","87","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.398085","2.17094","430695.648","4583281.346","430787.583","4583482.292","934573657","#","","","","","","","",
"75990002672","Farmàcia Orrit Mackenzie","#","Pg","Sant Joan","111","111","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.399805","2.168665","430507.303","4583474.142","430599.236","4583675.09","934535373","#","","01/01","31/12","0000011","08:00:00","23:00:00"," ",
"75990002672","Farmàcia Orrit Mackenzie","#","Pg","Sant Joan","111","111","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.399805","2.168665","430507.303","4583474.142","430599.236","4583675.09","934535373","#","","01/01","31/12","1111100","09:00:00","22:00:00"," ",
"75990002672","Farmàcia Orrit Mackenzie","#","Pg","Sant Joan","111","111","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.399805","2.168665","430507.303","4583474.142","430599.236","4583675.09","934578257","Fax","","01/01","31/12","0000011","08:00:00","23:00:00"," ",
