"DATA_EXPLO","OCUPACIO","CODI_DISTRICTE","NOM_DISTRICTE","CODI_BARRI","NOM_BARRI","EMPLACAMENT","SUPERFICIE_OCUPADA","TAULES","CADIRES","ORDENACIO","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 111","2.25",1.00,4.00,"Ordenació General","31585413","83261464","41.3979813784642","2.18158482309624"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 34","20.25",9.00,36.00,"Ordenació Singular","31367752","82963672","41.3952807098358","2.17901504462941"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 186","4.5",2.00,8.00,"Ordenació General","31724263","83444737","41.3996438642736","2.18322499818867"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 80","18",8.00,32.00,"Distribució Prèvia","31647795","83108713","41.3966109016944","2.18234824348268"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 163","9",4.00,16.00,"Ordenació General","31913668","83470566","41.3998925591112","2.18548770422839"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ARAGO, 410","3.6",3.00,6.00,"Ordenació General","31099303","83607792","41.4010591374582","2.17573085348987"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","AV. DIAGONAL, 241","9",3.00,12.00,"Ordenació Singular","31652296","83881242","41.4035692151909","2.18231486622597"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 32","27",12.00,48.00,"Ordenació Singular","31405780","82924478","41.3949309460563","2.17947433375538"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. RIBES, 35","6",2.00,8.00,"Distribució Prèvia","31702244","83191959","41.3973652996324","2.18299012722031"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 125","9",3.00,12.00,"Ordenació General","31505709","83343176","41.3987105479189","2.18062220706313"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 103","13.5",6.00,24.00,"Ordenació General","31499952","83255540","41.3979207471335","2.18056325926783"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 687","17.64",4.00,16.00,"Ordenació General","31364932","83352532","41.3987828103825","2.17893723686286"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 18","27",12.00,48.00,"Ordenació Singular","31462268","82866511","41.3944136711285","2.18015653869547"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 139","7.05",5.00,12.00,"Ordenació General","31630037","83383558","41.399084837212","2.18210480201642"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 49-51","9",4.00,16.00,"Ordenació General","31582437","82881284","41.3945569594046","2.18159218183575"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. RIBES, 19","9",4.00,16.00,"Ordenació General","31670935","83060633","41.3961798261888","2.18263045029354"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 162","4.37",2.00,6.00,"Ordenació General","31688914","83186994","41.397319449093","2.1828312431983"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 151","15.75",7.00,28.00,"Ordenació General","31778052","83528071","41.4003989938806","2.183859016678"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 731","21",8.00,32.00,"Ordenació General","31555749","83538804","41.4004767697383","2.18119864671175"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 185","11.25",5.00,20.00,"Distribució Prèvia","31547768","83662113","41.4015866959867","2.18108923615608"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 151","6.75",3.00,12.00,"Ordenació General","31778052","83528071","41.4003989938806","2.183859016678"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PROVENÇA, 493","4.5",2.00,8.00,"Ordenació General","31324542","84435498","41.4085332874456","2.17833124035947"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. DIPUTACIO, 452","6.9",4.00,12.00,"Ordenació General","31676256","83799579","41.4028357386397","2.18261070381073"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 189","18",8.00,32.00,"Ordenació General","31502990","83707984","41.4019960280535","2.18054840821948"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 209","3.6",3.00,6.00,"Ordenació General","31658678","84334006","41.4076476598049","2.18234008638189"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 518","6",2.00,8.00,"Ordenació General","30830200","84299751","41.4072682734475","2.17243278212436"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 75","6.75",3.00,12.00,"Ordenació General","31382358","83140554","41.3968750778183","2.17916970182401"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 8","18",8.00,32.00,"Ordenació Singular","31529696","82798251","41.3938046175494","2.18097074619214"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 215","1.2",1.00,2.00,"Ordenació General","31608299","84385372","41.4081060121008","2.18173158809419"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. VALENCIA, 453","2.4",2.00,4.00,"Ordenació General","31313373","84050711","41.4050666826873","2.17824129244915"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. PADILLA, 166","4.5",2.00,8.00,"Ordenació General","31786962","83858434","41.403375227941","2.18392837073323"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 104","7.2",6.00,12.00,"Ordenació General","31543224","83143534","41.3969156284901","2.18109351627688"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 16","22.5",10.00,40.00,"Ordenació Singular","31498591","82829746","41.3940856346698","2.18059514786407"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 83","18",8.00,32.00,"Ordenació General","31648600","82984632","41.3954934099543","2.18237187821317"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SARDENYA, 198","9",4.00,16.00,"Ordenació General","31684468","83382674","41.3990815016811","2.18275598454746"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. DIPUTACIO, 412","3.45",2.00,6.00,"Ordenació General","31436856","83577550","41.4008156131249","2.17977207654037"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 816","4.65",3.00,8.00,"Ordenació General","31884365","83787887","41.4027480911618","2.18510148393428"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 160","6.75",3.00,12.00,"Distribució Prèvia","31688914","83186994","41.397319449093","2.1828312431983"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 141","6.75",3.00,12.00,"Ordenació General","31390844","83269053","41.3980331524681","2.17925664417242"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SARDENYA, 173","7.95",4.00,14.00,"Ordenació General","31613548","83424297","41.3994503586401","2.18190296530656"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 185","9",4.00,16.00,"Ordenació General","31547768","83662113","41.4015866959867","2.18108923615608"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 748","6.75",3.00,12.00,"Ordenació General","31494076","83396583","41.3991905771841","2.18047701546266"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CONSELL DE CENT, 448","5.7",2.00,8.00,"Ordenació General","31208830","83543777","41.4004919533736","2.17704828534454"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 138","6.75",3.00,12.00,"Ordenació General","31891422","83418362","41.3994204893039","2.18522747542708"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 102","4.5",2.00,8.00,"Ordenació General","31408808","83090542","41.3964268917429","2.17949174085172"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 198","18",8.00,32.00,"Distribució Prèvia","31544193","83739598","41.4022842746984","2.18103770945239"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 145-147","15.03",6.00,20.00,"Ordenació General","31370472","83482009","41.3999494419005","2.1789888268531"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. RIBES, 23","9",4.00,16.00,"Ordenació General","31677902","83089960","41.3964445576029","2.18271047417953"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 751","9",4.00,16.00,"Distribució Prèvia","31745392","83795401","41.4028039810969","2.18343820095481"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 173","3.45",2.00,6.00,"Ordenació General","31225215","83631114","41.4012799714228","2.17723435851339"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. PADILLA, 170","4.5",2.00,8.00,"Ordenació General","31769913","83875910","41.4035311821204","2.18372245375987"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 114","2.25",1.00,4.00,"Ordenació General","31335460","83166187","41.3971019430615","2.17860583864744"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 97","4.5",2.00,8.00,"Ordenació General","31591470","83063531","41.3961991715459","2.1816796354614"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. DIPUTACIO, 433","4.5",2.00,8.00,"Ordenació General","31457846","83631423","41.4013026199301","2.18001705780361"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 113","3.6",3.00,6.00,"Ordenació General","31628328","83192230","41.3973614590406","2.18210596507613"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 128","4.5",2.00,8.00,"Ordenació General","31305076","83197373","41.3973802305605","2.17823887019125"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MARINA, 298","4.5",2.00,8.00,"Ordenació General","31026499","84274664","41.4070591905506","2.17478398437608"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 45","36",12.00,48.00,"Ordenació Singular","31074618","84520096","41.4092738413828","2.17533168119729"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. VALENCIA, 509","2.4",2.00,4.00,"Ordenació General","31582040","84312220","41.4074449209624","2.18142571479783"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 240-242","18",8.00,32.00,"Ordenació General","31496015","83977610","41.4044238696955","2.18043445850769"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 215","4.5",2.00,8.00,"Ordenació General","31510920","84111975","41.4056353222658","2.18059755665112"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 46","13.5",6.00,24.00,"Ordenació Singular","31328199","83003550","41.3956365020668","2.17853743252732"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 273","8.55",3.00,12.00,"Ordenació General","31231387","84216916","41.4065566274183","2.17724163394465"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 117","5.7",3.00,10.00,"Ordenació General","31529887","83318429","41.3984897185154","2.1809142118567"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 534","3.6",3.00,6.00,"Ordenació General","30932640","84402218","41.4081999672184","2.17364658678911"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 288","2.85",1.00,4.00,"Ordenació General","31129148","84537646","41.4094365824497","2.17598205157304"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SICILIA, 270","3.45",2.00,6.00,"Ordenació General","31110671","83778908","41.402601297726","2.1758473641598"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 434","4.5",2.00,8.00,"Ordenació General","31260608","84155537","41.4060063061623","2.17759817520645"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 221","4.5",2.00,8.00,"Ordenació General","31591677","84402366","41.4082576571569","2.1815308136237"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 434","1.2",1.00,2.00,"Distribució Prèvia","31260608","84155537","41.4060063061623","2.17759817520645"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SANT ANTONI MARIA CLARET, 234","3.45",2.00,6.00,"Ordenació General","31150510","84984280","41.4134610933343","2.17618679388265"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 277","8.55",3.00,12.00,"Ordenació General","31213234","84235463","41.4067221209784","2.17702236212783"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","PL. SAGRADA FAMILIA, 26","12.24",5.00,18.00,"Ordenació Singular","31006317","83907060","41.4037465720634","2.174584449975"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 52","36",12.00,48.00,"Ordenació Singular","31101238","84662899","41.4105623019187","2.1756338888909"
